% 1. Title: Simple NERD selector 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 16-01-2018 01:00:55 
%
@RELATION @NERD_Simple_NERD_selector 
@attribute nerd_score REAL
@attribute prob_anchor_string REAL
@attribute dice REAL
@attribute tf_idf REAL
@attribute nb_tokens NUMERIC
@attribute inContext {false, true}
@attribute isNe {false, true}
@attribute entity? REAL

@data
1.0,0.8184438040345822,9.095187074168635E-4,0.0,1,true,true,1.0
7.274491561439222E-12,0.8184438040345822,9.095187074168635E-4,0.0,1,false,true,0.0
7.274491561439222E-12,0.5549436529874548,1.0,0.0,3,false,true,1.0
7.274491561439222E-12,0.5549436529874548,1.0,0.0,3,false,true,0.0
1.0,0.6954022988505747,1.0,0.0,3,true,true,1.0
7.274491561439222E-12,0.0010327653788334936,1.2457435543869702E-5,0.0,1,false,false,0.0
1.0,0.5,0.08568795017744898,0.0,1,true,false,1.0
7.274491561439222E-12,0.03273216189902174,1.5419259269810063E-4,0.0,1,false,false,0.0
7.274491561439222E-12,0.17270271760101427,0.4222936690571187,0.0,3,true,false,1.0
7.274491561439222E-12,0.0949139419927342,1.591514288305239E-5,0.0,1,false,true,0.0
1.0,0.09040641415537738,8.757653220356863E-5,0.0,1,true,false,1.0
7.274491561439222E-12,0.029678878566181326,3.8939482354370045E-6,0.0,1,false,false,0.0
0.95,0.022731155146371286,7.357886698518899E-6,0.0,1,false,true,1.0
7.274491561439222E-12,0.022731155146371286,7.357886698518899E-6,0.0,1,false,true,0.0
0.95,0.022731155146371286,7.357886698518899E-6,0.0,1,false,false,1.0
7.274491561439222E-12,0.022731155146371286,7.357886698518899E-6,0.0,1,false,false,0.0
1.0,0.16666666666666666,1.0,0.0,5,true,false,1.0
7.274491561439222E-12,0.012,7.063443155385819E-4,0.0,1,false,false,0.0
0.95,0.5406976744186046,0.1760286470659536,0.0,5,false,false,1.0
7.274491561439222E-12,0.5406976744186046,0.1760286470659536,0.0,5,false,false,0.0
7.274491561439222E-12,0.13451680212947967,6.54640962470679E-6,0.0,1,false,false,1.0
7.274491561439222E-12,0.13451680212947967,6.54640962470679E-6,0.0,1,false,false,0.0
1.0,0.03389830508474576,0.001161751868045596,0.0,1,false,false,1.0
7.274491561439222E-12,0.03389830508474576,0.001161751868045596,0.0,1,false,false,0.0
1.0,0.7948717948717948,0.026948660480974065,0.0,1,true,false,1.0
7.274491561439222E-12,0.005952031768236277,1.1532297113802571E-5,0.0,1,false,false,0.0
0.95,0.023870499887971512,7.873555119462046E-6,0.0,1,false,true,1.0
7.274491561439222E-12,0.023870499887971512,7.873555119462046E-6,0.0,1,false,true,0.0
1.0,0.023250951788418024,1.1936893875540099E-5,0.0,1,false,false,1.0
7.274491561439222E-12,0.023250951788418024,1.1936893875540099E-5,0.0,1,false,false,0.0
0.95,0.024209367778513322,5.747214661342036E-6,0.0,1,false,false,1.0
7.274491561439222E-12,0.024209367778513322,5.747214661342036E-6,0.0,1,false,false,0.0
7.274491561439222E-12,0.0949139419927342,1.591514288305239E-5,0.0,1,false,false,1.0
7.274491561439222E-12,0.0949139419927342,1.591514288305239E-5,0.0,1,false,false,0.0
7.274491561439222E-12,0.42450021267545723,0.05822803903748235,0.0,3,false,false,1.0
7.274491561439222E-12,0.024478927994872394,1.0388165045050109E-5,0.0,1,false,false,0.0
0.95,0.024478927994872394,1.0388165045050109E-5,0.0,1,false,false,1.0
7.274491561439222E-12,0.024478927994872394,1.0388165045050109E-5,0.0,1,false,false,0.0
1.0,0.6513761467889908,1.0,0.0,3,false,false,1.0
7.274491561439222E-12,0.003821970163974849,2.2875944400129012E-4,0.0,1,false,false,0.0
1.0,0.8,0.02315926340427511,0.0,10,false,false,1.0
